web-scraper-order,web-scraper-start-url,expansion
"1647752859-4712","https://www.ncbi.nlm.nih.gov/mesh/?term=Calmodulin","A heat-stable, low-molecular-weight activator protein found mainly in the brain and heart. The binding of calcium ions to this protein allows this protein to bind to cyclic nucleotide phosphodiesterases and to adenyl cyclase with subsequent activation. Thereby this protein modulates cyclic AMP and cyclic GMP levels."
"1647741448-1279","https://www.ncbi.nlm.nih.gov/mesh/?term=beta3","A TGF-beta subtype that plays role in regulating epithelial-mesenchymal interaction during embryonic development. It is synthesized as a precursor molecule that is cleaved to form mature TGF-beta3 and TGF-beta3 latency-associated peptide. The association of the cleavage products results in the formation a latent protein which must be activated to bind its receptor."
"1647744248-2326","https://www.ncbi.nlm.nih.gov/mesh/?term=Intermediate","A peptide derived from the cleavage of ADRENOCORTICOTROPIC HORMONE, found primarily in the INTERMEDIATE LOBE OF PITUITARY but also in the ARCUATE NUCLEUS of basal HYPOTHALAMUS. Its sequence is identical to the C-terminal 22-amino acids of ACTH or ACTH 18-39."
"1647744158-2295","https://www.ncbi.nlm.nih.gov/mesh/?term=Carbon-13","Magnetic resonance spectroscopy involving detection of changes in the resonance of carbon-13 nuclei in organic molecules."
"1647744562-2435","https://www.ncbi.nlm.nih.gov/mesh/?term=Metformin","A biguanide hypoglycemic agent used in the treatment of non-insulin-dependent diabetes mellitus not responding to dietary modification. Metformin improves glycemic control by improving insulin sensitivity and decreasing intestinal absorption of glucose. (From Martindale, The Extra Pharmacopoeia, 30th ed, p289)"
"1647755955-5523","https://www.ncbi.nlm.nih.gov/mesh/?term=Hematopoietic","The blood-making organs and tissues, principally the bone marrow and lymph nodes."
"1647745667-2758","https://www.ncbi.nlm.nih.gov/mesh/?term=gamma-Chains","Heavy chains of IMMUNOGLOBULIN G having a molecular weight of approximately 51 kDa. They contain about 450 amino acid residues arranged in four domains and an oligosaccharide component covalently bound to the Fc fragment constant region. The gamma heavy chain subclasses (for example, gamma 1, gamma 2a, and gamma 2b) of the IMMUNOGLOBULIN G isotype subclasses (IgG1, IgG2A, and IgG2B) resemble each other more closely than the heavy chains of the other IMMUNOGLOBULIN ISOTYPES."
"1647756649-5668","https://www.ncbi.nlm.nih.gov/mesh/?term=Extremities","The farthest or outermost projections of the body, such as the HAND and FOOT."
"1647741358-1244","https://www.ncbi.nlm.nih.gov/mesh/?term=Radius","The outer shorter of the two bones of the FOREARM, lying parallel to the ULNA and partially revolving around it."
"1647749794-3932","https://www.ncbi.nlm.nih.gov/mesh/?term=Complement","Serum glycoproteins participating in the host defense mechanism of COMPLEMENT ACTIVATION that creates the COMPLEMENT MEMBRANE ATTACK COMPLEX. Included are glycoproteins in the various pathways of complement activation (CLASSICAL COMPLEMENT PATHWAY; ALTERNATIVE COMPLEMENT PATHWAY; and LECTIN COMPLEMENT PATHWAY)."
"1647759335-6286","https://www.ncbi.nlm.nih.gov/mesh/?term=Extracellular","Macromolecular organic compounds that contain carbon, hydrogen, oxygen, nitrogen, and usually, sulfur. These macromolecules (proteins) form an intricate meshwork in which cells are embedded to construct tissues. Variations in the relative types of macromolecules and their organization determine the type of extracellular matrix, each adapted to the functional requirements of the tissue. The two main classes of macromolecules that form the extracellular matrix are: glycosaminoglycans, usually linked to proteins (proteoglycans), and fibrous proteins (e.g., COLLAGEN; ELASTIN; FIBRONECTINS; and LAMININ)."
"1647757999-5944","https://www.ncbi.nlm.nih.gov/mesh/?term=Thiazoles","null"
"1647741061-1129","https://www.ncbi.nlm.nih.gov/mesh/?term=CBA","An inbred strain of mouse that is widely used in BIOMEDICAL RESEARCH."
"1647754085-5024","https://www.ncbi.nlm.nih.gov/mesh/?term=Antibiotics","Substances that inhibit the growth or reproduction of BACTERIA."
"1647741261-1206","https://www.ncbi.nlm.nih.gov/mesh/?term=ELAV-Like","An RRM protein that binds to the 3'-UTR region of mRNAs and increases their stability. In EMBRYONIC STEM CELLS, it binds to poly-U elements and AU-rich elements (AREs) in the 3'-UTR of target mRNAs and preferentially binds mRNAs that are not methylated by N6-methyladenosine (m6A), to stabilize them and promote differentiation."
"1647758285-6007","https://www.ncbi.nlm.nih.gov/mesh/?term=Squamous","A cytological test finding often from PAP SMEARS that shows abnormal lesions of SQUAMOUS EPITHELIAL CELLS of the CERVIX. It is a diagnostic criterion used in the Bethesda System for UTERINE CERVICAL NEOPLASMS and represents the PAP TEST result that is abnormal. Although squamous intraepithelial lesions test result does not mean UTERINE CERVICAL NEOPLASMS it requires follow-ups (e.g., HPV DNA TESTS; and COLPOSCOPY)."
"1647748587-3623","https://www.ncbi.nlm.nih.gov/mesh/?term=Benzodioxoles","null"
"1647741520-1307","https://www.ncbi.nlm.nih.gov/mesh/?term=Post-Traumatic","Tumors, cancer or other neoplasms caused by or resulting from trauma or other non-radiation injuries."
"1647744973-2572","https://www.ncbi.nlm.nih.gov/mesh/?term=Ethics","The philosophy or code pertaining to what is ideal in human character and conduct. Also, the field of study dealing with the principles of morality."
"1647739369-472","https://www.ncbi.nlm.nih.gov/mesh/?term=Gradient","Separation of particles according to density by employing a gradient of varying densities. At equilibrium each particle settles in the gradient at a point equal to its density. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)"
"1647751612-4404","https://www.ncbi.nlm.nih.gov/mesh/?term=Hormesis","null"
"1647745552-2727","https://www.ncbi.nlm.nih.gov/mesh/?term=Reperfusion","Restoration of blood supply to tissue which is ischemic due to decrease in normal blood supply. The decrease may result from any source including atherosclerotic obstruction, narrowing of the artery, or surgical clamping. It is primarily a procedure for treating infarction or other ischemia, by enabling viable ischemic tissue to recover, thus limiting further necrosis. However, it is thought that reperfusion can itself further damage the ischemic tissue, causing REPERFUSION INJURY."
"1647739889-674","https://www.ncbi.nlm.nih.gov/mesh/?term=Isoproterenol","Isopropyl analog of EPINEPHRINE; beta-sympathomimetic that acts on the heart, bronchi, skeletal muscle, alimentary tract, etc. It is used mainly as bronchodilator and heart stimulant."
"1647753982-4993","https://www.ncbi.nlm.nih.gov/mesh/?term=Salivary","Calculi occurring in a salivary gland. Most salivary gland calculi occur in the submandibular gland, but can also occur in the parotid gland and in the sublingual and minor salivary glands."
"1647757374-5812","https://www.ncbi.nlm.nih.gov/mesh/?term=Platelets","Non-nucleated disk-shaped cells formed in the megakaryocyte and found in the blood of all mammals. They are mainly involved in blood coagulation."
"1647753428-4843","https://www.ncbi.nlm.nih.gov/mesh/?term=Phantoms","null"
"1647754349-5101","https://www.ncbi.nlm.nih.gov/mesh/?term=Duodenal","The shortest and widest portion of the SMALL INTESTINE adjacent to the PYLORUS of the STOMACH. It is named for having the length equal to about the width of 12 fingers."
"1647746449-2989","https://www.ncbi.nlm.nih.gov/mesh/?term=Post-Transcriptional","Post-transcriptional biological modification of messenger, transfer, or ribosomal RNAs or their precursors. It includes cleavage, methylation, thiolation, isopentenylation, pseudouridine formation, conformational changes, and association with ribosomal protein."
"1647751384-4335","https://www.ncbi.nlm.nih.gov/mesh/?term=Pernicious","A megaloblastic anemia occurring in children but more commonly in later life, characterized by histamine-fast achlorhydria, in which the laboratory and clinical manifestations are based on malabsorption of vitamin B 12 due to a failure of the gastric mucosa to secrete adequate and potent intrinsic factor. (Dorland, 27th ed)"
"1647741481-1292","https://www.ncbi.nlm.nih.gov/mesh/?term=Affairs","A cabinet department in the Executive Branch of the United States Government concerned with overall planning, promoting, and administering programs pertaining to VETERANS. It was established March 15, 1989 as a Cabinet-level position."
"1647758400-6034","https://www.ncbi.nlm.nih.gov/mesh/?term=Rapamycin-Insensitive","An adaptor protein subunit of MTORC2 COMPLEX. It functions as a structural component and is phosphorylated by RIBOSOMAL PROTEIN S6 KINASES, integrating signals for cell growth and proliferation, especially during embryonic development."
"1647751340-4323","https://www.ncbi.nlm.nih.gov/mesh/?term=Gastrins","null"
"1647738499-136","https://www.ncbi.nlm.nih.gov/mesh/?term=Tidal","Water waves caused by the gravitational interactions between the EARTH; MOON; and SUN."
"1647740576-941","https://www.ncbi.nlm.nih.gov/mesh/?term=Laminectomy","A surgical procedure that entails removing all (laminectomy) or part (laminotomy) of selected vertebral lamina to relieve pressure on the SPINAL CORD and/or SPINAL NERVE ROOTS. Vertebral lamina is the thin flattened posterior wall of vertebral arch that forms the vertebral foramen through which pass the spinal cord and nerve roots."
"1647748247-3522","https://www.ncbi.nlm.nih.gov/mesh/?term=Heparitin","A heteropolysaccharide that is similar in structure to HEPARIN. It accumulates in individuals with MUCOPOLYSACCHARIDOSIS."
"1647752758-4690","https://www.ncbi.nlm.nih.gov/mesh/?term=S","Acknowledgment that funding support is from any US government agency other than the Public Health Service, such as the National Science Foundation, NASA, Department of Energy, etc."
"1647752542-4639","https://www.ncbi.nlm.nih.gov/mesh/?term=Regeneration","The physiological renewal, repair, or replacement of tissue."
"1647746985-3153","https://www.ncbi.nlm.nih.gov/mesh/?term=Light","That portion of the electromagnetic spectrum in the visible, ultraviolet, and infrared range."
"1647748994-3732","https://www.ncbi.nlm.nih.gov/mesh/?term=Modulators","Substances that do not act as agonists or antagonists but do affect the GAMMA-AMINOBUTYRIC ACID receptor-ionophore complex. GABA-A receptors (RECEPTORS, GABA-A) appear to have at least three allosteric sites at which modulators act: a site at which BENZODIAZEPINES act by increasing the opening frequency of GAMMA-AMINOBUTYRIC ACID-activated chloride channels; a site at which BARBITURATES act to prolong the duration of channel opening; and a site at which some steroids may act. GENERAL ANESTHETICS probably act at least partly by potentiating GABAergic responses, but they are not included here."
"1647739169-395","https://www.ncbi.nlm.nih.gov/mesh/?term=Aminophylline","A drug combination that contains THEOPHYLLINE and ethylenediamine. It is more soluble in water than theophylline but has similar pharmacologic actions. It's most common use is in bronchial asthma, but it has been investigated for several other applications."
"1647748752-3667","https://www.ncbi.nlm.nih.gov/mesh/?term=Arabs","null"
"1647757411-5819","https://www.ncbi.nlm.nih.gov/mesh/?term=Practitioners","Registered nurses with graduate degrees in nursing who provide care to patients of all age levels, and who focus their efforts on the health care needs of the entire family."
"1647747054-3172","https://www.ncbi.nlm.nih.gov/mesh/?term=Adipocytes","Cells in the body that store FATS, usually in the form of TRIGLYCERIDES. WHITE ADIPOCYTES are the predominant type and found mostly in the abdominal cavity and subcutaneous tissue. BROWN ADIPOCYTES are thermogenic cells that can be found in newborns of some species and hibernating mammals."
"1647746155-2899","https://www.ncbi.nlm.nih.gov/mesh/?term=CD28","Costimulatory T-LYMPHOCYTE receptors that have specificity for CD80 ANTIGEN and CD86 ANTIGEN. Activation of this receptor results in increased T-cell proliferation, cytokine production and promotion of T-cell survival."
"1647746497-3002","https://www.ncbi.nlm.nih.gov/mesh/?term=Shock","A pathological condition manifested by failure to perfuse or oxygenate vital organs."
"1647754060-5016","https://www.ncbi.nlm.nih.gov/mesh/?term=Finger","Four or five slender jointed digits in humans and primates, attached to each HAND."
"1647739221-415","https://www.ncbi.nlm.nih.gov/mesh/?term=CD36","Leukocyte differentiation antigens and major platelet membrane glycoproteins present on MONOCYTES; ENDOTHELIAL CELLS; PLATELETS; and mammary EPITHELIAL CELLS. They play major roles in CELL ADHESION; SIGNAL TRANSDUCTION; and regulation of angiogenesis. CD36 is a receptor for THROMBOSPONDINS and can act as a scavenger receptor that recognizes and transports oxidized LIPOPROTEINS and FATTY ACIDS."
"1647749100-3761","https://www.ncbi.nlm.nih.gov/mesh/?term=Emission-Computed","A method of computed tomography that uses radionuclides which emit a single photon of a given energy. The camera is rotated 180 or 360 degrees around the patient to capture images at multiple positions along the arc. The computer is then used to reconstruct the transaxial, sagittal, and coronal images from the 3-dimensional distribution of radionuclides in the organ. The advantages of SPECT are that it can be used to observe biochemical and physiological processes as well as size and volume of the organ. The disadvantage is that, unlike positron-emission tomography where the positron-electron annihilation results in the emission of 2 photons at 180 degrees from each other, SPECT requires physical collimation to line up the photons, which results in the loss of many available photons and hence degrades the image."
"1647757550-5848","https://www.ncbi.nlm.nih.gov/mesh/?term=Outpatient","Persons who receive ambulatory care at an outpatient department or clinic without room and board being provided."
"1647741397-1259","https://www.ncbi.nlm.nih.gov/mesh/?term=Phloroglucinol","A trinitrobenzene derivative with antispasmodic properties that is used primarily as a laboratory reagent."
"1647741032-1118","https://www.ncbi.nlm.nih.gov/mesh/?term=Trophoblastic","Trophoblastic growth, which may be gestational or nongestational in origin. Trophoblastic neoplasia resulting from pregnancy is often described as gestational trophoblastic disease to distinguish it from germ cell tumors which frequently show trophoblastic elements, and from the trophoblastic differentiation which sometimes occurs in a wide variety of epithelial cancers. Gestational trophoblastic growth has several forms, including HYDATIDIFORM MOLE and CHORIOCARCINOMA. (From Holland et al., Cancer Medicine, 3d ed, p1691)"
"1647755812-5494","https://www.ncbi.nlm.nih.gov/mesh/?term=Serine","A non-essential amino acid occurring in natural form as the L-isomer. It is synthesized from GLYCINE or THREONINE. It is involved in the biosynthesis of PURINES; PYRIMIDINES; and other amino acids."
"1647746941-3139","https://www.ncbi.nlm.nih.gov/mesh/?term=Rhodamines","null"
"1647746111-2887","https://www.ncbi.nlm.nih.gov/mesh/?term=Interleukin-1","A soluble factor produced by MONOCYTES; MACROPHAGES, and other cells which activates T-lymphocytes and potentiates their response to mitogens or antigens. Interleukin-1 is a general term refers to either of the two distinct proteins, INTERLEUKIN-1ALPHA and INTERLEUKIN-1BETA. The biological effects of IL-1 include the ability to replace macrophage requirements for T-cell activation."
"1647743081-1914","https://www.ncbi.nlm.nih.gov/mesh/?term=Extremity","The farthest or outermost projections of the body, such as the HAND and FOOT."
"1647743459-2059","https://www.ncbi.nlm.nih.gov/mesh/?term=Diffraction","Method of using a polycrystalline powder and Rietveld refinement (LEAST SQUARES ANALYSIS) of X-RAY DIFFRACTION or NEUTRON DIFFRACTION. It circumvents the difficulties of producing single large crystals."
"1647751782-4449","https://www.ncbi.nlm.nih.gov/mesh/?term=Program","Works consisting of lists of the events, pieces, performers, speakers, etc., of an entertainment, ceremony, or the like. (From: Genre Terms: A Thesaurus for Use in Rare Book and Special Collections Cataloging, 2d ed)"
"1647752910-4723","https://www.ncbi.nlm.nih.gov/mesh/?term=Glucuronosyltransferase","A family of enzymes accepting a wide range of substrates, including phenols, alcohols, amines, and fatty acids. They function as drug-metabolizing enzymes that catalyze the conjugation of UDPglucuronic acid to a variety of endogenous and exogenous compounds. EC 2.4.1.17."
"1647755132-5324","https://www.ncbi.nlm.nih.gov/mesh/?term=Radiotherapy","The use of IONIZING RADIATION to treat malignant NEOPLASMS and some benign conditions."
"1647751925-4485","https://www.ncbi.nlm.nih.gov/mesh/?term=Aminoquinolines","null"
"1647751286-4309","https://www.ncbi.nlm.nih.gov/mesh/?term=Isoenzymes","null"
"1647753739-4920","https://www.ncbi.nlm.nih.gov/mesh/?term=Interventional","A series of steps taken in order to conduct research."
"1647741230-1194","https://www.ncbi.nlm.nih.gov/mesh/?term=Juxtacortical","null"
"1647741487-1294","https://www.ncbi.nlm.nih.gov/mesh/?term=Reserve","Capacity of the ovary to provide viable eggs."
"1647748396-3567","https://www.ncbi.nlm.nih.gov/mesh/?term=elegans","Proteins from the nematode species CAENORHABDITIS ELEGANS. The proteins from this species are the subject of scientific interest in the area of multicellular organism MORPHOGENESIS."
"1647741858-1438","https://www.ncbi.nlm.nih.gov/mesh/?term=Hormone-Related","A ubiquitously expressed, secreted protein with bone resorption and renal calcium reabsorption activities that are similar to PARATHYROID HORMONE. It does not circulate in appreciable amounts in normal subjects, but rather exerts its biological actions locally. Overexpression of parathyroid hormone-related protein by tumor cells results in humoral calcemia of malignancy."
"1647744543-2429","https://www.ncbi.nlm.nih.gov/mesh/?term=Microfluidic","The study of fluid channels and chambers of tiny dimensions of tens to hundreds of micrometers and volumes of nanoliters or picoliters. This is of interest in biological MICROCIRCULATION and used in MICROCHEMISTRY and INVESTIGATIVE TECHNIQUES."
"1647738563-161","https://www.ncbi.nlm.nih.gov/mesh/?term=Decay","An mRNA metabolic process that distinguishes a normal STOP CODON from a premature stop codon (NONSENSE CODON) and facilitates rapid degradation of aberrant mRNAs containing premature stop codons."
"1647758870-6149","https://www.ncbi.nlm.nih.gov/mesh/?term=Southern","El Nino-Southern Oscillation or ENSO is a cycle of extreme alternating warm El Niño and cold La Nina events which is the dominant year-to-year climate pattern on Earth. Both terms refer to large-scale changes in sea-surface temperature across the eastern tropical Pacific. ENSO is associated with a heightened risk of certain vector-borne diseases. (From http://www.elnino.noaa.gov/lanina_new_faq.html, accessed 5/12/2020)"
"1647759726-6389","https://www.ncbi.nlm.nih.gov/mesh/?term=Oncogene","Genes whose gain-of-function alterations lead to NEOPLASTIC CELL TRANSFORMATION. They include, for example, genes for activators or stimulators of CELL PROLIFERATION such as growth factors, growth factor receptors, protein kinases, signal transducers, nuclear phosphoproteins, and transcription factors. A prefix of ""v-"" before oncogene symbols indicates oncogenes captured and transmitted by RETROVIRUSES; the prefix ""c-"" before the gene symbol of an oncogene indicates it is the cellular homolog (PROTO-ONCOGENES) of a v-oncogene."
"1647741938-1469","https://www.ncbi.nlm.nih.gov/mesh/?term=HDL","A class of lipoproteins of small size (4-13 nm) and dense (greater than 1.063 g/ml) particles. HDL lipoproteins, synthesized in the liver without a lipid core, accumulate cholesterol esters from peripheral tissues and transport them to the liver for re-utilization or elimination from the body (the reverse cholesterol transport). Their major protein component is APOLIPOPROTEIN A-I. HDL also shuttle APOLIPOPROTEINS C and APOLIPOPROTEINS E to and from triglyceride-rich lipoproteins during their catabolism. HDL plasma level has been inversely correlated with the risk of cardiovascular diseases."
"1647743260-1983","https://www.ncbi.nlm.nih.gov/mesh/?term=Cytokinesis","The process by which the CYTOPLASM of a cell is divided."
"1647740241-811","https://www.ncbi.nlm.nih.gov/mesh/?term=Dermis","A layer of vascularized connective tissue underneath the EPIDERMIS. The surface of the dermis contains innervated papillae. Embedded in or beneath the dermis are SWEAT GLANDS; HAIR FOLLICLES; and SEBACEOUS GLANDS."
"1647748044-3465","https://www.ncbi.nlm.nih.gov/mesh/?term=Granules","Cytoplasmic granules composed of RIBONUCLEOPROTEINS which form only when stress-activated pathways stall translation initiation. Stress granules and processing bodies both sequester inactive mRNPs. Stress granules clear mRNPs through autophagy and may interact with P-BODIES."
"1647759117-6234","https://www.ncbi.nlm.nih.gov/mesh/?term=Oligonucleotide","Polymers made up of a few (2-20) nucleotides. In molecular genetics, they refer to a short sequence synthesized to match a region where a mutation is known to occur, and then used as a probe (OLIGONUCLEOTIDE PROBES). (Dorland, 28th ed)"
"1647744103-2277","https://www.ncbi.nlm.nih.gov/mesh/?term=Performance","Carrying out of specific physical routines or procedures by one who is trained or skilled in physical activity. Performance is influenced by a combination of physiological, psychological, and socio-cultural factors."
"1647755541-5427","https://www.ncbi.nlm.nih.gov/mesh/?term=Duct","Predominantly extrahepatic bile duct which is formed by the junction of the right and left hepatic ducts, which are predominantly intrahepatic, and, in turn, joins the cystic duct to form the common bile duct."
"1647744796-2511","https://www.ncbi.nlm.nih.gov/mesh/?term=Co-Repressor","A subclass of repressor proteins that do not directly bind DNA. Instead, co-repressors generally act via their interaction with DNA-BINDING PROTEINS such as a TRANSCRIPTIONAL SILENCING FACTORS or NUCLEAR RECEPTORS."
"1647755179-5336","https://www.ncbi.nlm.nih.gov/mesh/?term=Choledocholithiasis","null"
"1647743571-2102","https://www.ncbi.nlm.nih.gov/mesh/?term=Mucin-3","A membrane-bound mucin subtype that is primarily found in INTESTINAL MUCOSA. Two closely-related subtypes of this protein have been identified in humans."
"1647753114-4770","https://www.ncbi.nlm.nih.gov/mesh/?term=World","A historical and cultural entity dispersed across the wide geographical area of Europe, as opposed to the East, Asia, and Africa. The term was used by scholars through the late medieval period. Thereafter, with the impact of colonialism and the transmission of cultures, Western World was sometimes expanded to include the Americas. (Dr. James H. Cassedy, NLM History of Medicine Division)"
"1647739786-634","https://www.ncbi.nlm.nih.gov/mesh/?term=Output","A state of elevated cardiac output due to conditions of either increased hemodynamic demand or reduced cardiac oxygen output. These conditions may include ANEMIA; ARTERIOVENOUS FISTULA; THYROTOXICOSIS; PREGNANCY; EXERCISE; FEVER; and HYPOXIA. In time, compensatory changes of the heart can lead to pathological form of high cardiac output and eventual HEART FAILURE."
"1647747370-3269","https://www.ncbi.nlm.nih.gov/mesh/?term=Anus","The terminal segment of the LARGE INTESTINE, beginning from the ampulla of the RECTUM and ending at the anus."
"1647742239-1586","https://www.ncbi.nlm.nih.gov/mesh/?term=City","A large or important municipality of a country, usually a major metropolitan center."
"1647739384-478","https://www.ncbi.nlm.nih.gov/mesh/?term=Sterols","Steroids with a hydroxyl group at C-3 and most of the skeleton of cholestane. Additional carbon atoms may be present in the side chain. (IUPAC Steroid Nomenclature, 1987)"
"1647739081-361","https://www.ncbi.nlm.nih.gov/mesh/?term=Myxoid","A liposarcoma containing round mesenchymal cells and a myxoid extracellular matrix in stroma."
"1647747771-3387","https://www.ncbi.nlm.nih.gov/mesh/?term=Insecta","Members of the phylum ARTHROPODA composed or organisms characterized by division into three parts: head, thorax, and abdomen. They are the dominant group of animals on earth with several hundred thousand different kinds. Three orders, HEMIPTERA; DIPTERA; and SIPHONAPTERA; are of medical interest in that they cause disease in humans and animals. (From Borror et al., An Introduction to the Study of Insects, 4th ed, p1)."
"1647758242-5998","https://www.ncbi.nlm.nih.gov/mesh/?term=Pyridones","null"
"1647745328-2666","https://www.ncbi.nlm.nih.gov/mesh/?term=Lim","A large class of structurally-related proteins that contain one or more LIM zinc finger domains. Many of the proteins in this class are involved in intracellular signaling processes and mediate their effects via LIM domain protein-protein interactions. The name LIM is derived from the first three proteins in which the motif was found: LIN-11, Isl1 and Mec-3."
"1647740347-852","https://www.ncbi.nlm.nih.gov/mesh/?term=Pumps","Integral membrane proteins that transport protons across a membrane. This transport can be linked to the hydrolysis of ADENOSINE TRIPHOSPHATE. What is referred to as proton pump inhibitors frequently is about POTASSIUM HYDROGEN ATPASE."
"1647738212-25","https://www.ncbi.nlm.nih.gov/mesh/?term=Behavioral","The observable response of a man or animal to a situation."
"1647739382-477","https://www.ncbi.nlm.nih.gov/mesh/?term=Fasting","Abstaining from FOOD."
"1647759674-6375","https://www.ncbi.nlm.nih.gov/mesh/?term=Outcome","Patient-generated evaluation data of treatment outcome or interaction in healthcare environment."
"1647752263-4573","https://www.ncbi.nlm.nih.gov/mesh/?term=N-Acyltransferase","An enzyme that catalyzes the acyltransferase of SPHINGOSINE to N-acylsphingosine using acyl-COENZYME A as donor and COENZYME A as acceptor. The enzyme is mainly localized in the MITOCHONDRIA."
"1647754817-5243","https://www.ncbi.nlm.nih.gov/mesh/?term=Aniline","A drug-metabolizing, cytochrome P-450 enzyme which catalyzes the hydroxylation of aniline to hydroxyaniline in the presence of reduced flavoprotein and molecular oxygen. EC 1.14.14.-."
"1647740233-808","https://www.ncbi.nlm.nih.gov/mesh/?term=Antimony","A metallic element that has the atomic symbol Sb, atomic number 51, and atomic weight 121.75. It is used as a metal alloy and as medicinal and poisonous salts. It is toxic and an irritant to the skin and the mucous membranes."
"1647758938-6172","https://www.ncbi.nlm.nih.gov/mesh/?term=Intercellular","A family of secreted proteins found associated with the EXTRACELLULAR MATRIX and cell surface receptors. They are believed to play a role in modulating the effects of a variety of GROWTH FACTORS and PROTEASES at the cell membrane extracellular matrix. The CCN protein family is named after three protypical members; CYSTEINE-RICH PROTEIN 61; CONNECTIVE TISSUE GROWTH FACTOR; and NEPHROBLASTOMA OVEREXPRESSED PROTEIN."
"1647757262-5790","https://www.ncbi.nlm.nih.gov/mesh/?term=Retinoblastoma","A malignant tumor arising from the nuclear layer of the retina that is the most common primary tumor of the eye in children. The tumor tends to occur in early childhood or infancy and may be present at birth. The majority are sporadic, but the condition may be transmitted as an autosomal dominant trait. Histologic features include dense cellularity, small round polygonal cells, and areas of calcification and necrosis. An abnormal pupil reflex (leukokoria); NYSTAGMUS, PATHOLOGIC; STRABISMUS; and visual loss represent common clinical characteristics of this condition. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, p2104)"
"1647759770-6400","https://www.ncbi.nlm.nih.gov/mesh/?term=Primary","Techniques or methods of patient care used by nurses as primary careproviders."
"1647749126-3768","https://www.ncbi.nlm.nih.gov/mesh/?term=Meta-Analysis","Works consisting of studies using a quantitative method of combining the results of independent studies (usually drawn from the published literature) and synthesizing summaries and conclusions which may be used to evaluate therapeutic effectiveness, plan new studies, etc. It is often an overview of clinical trials. It is usually called a meta-analysis by the author or sponsoring body and should be differentiated from reviews of literature."
"1647751750-4441","https://www.ncbi.nlm.nih.gov/mesh/?term=Flutamide","An antiandrogen with about the same potency as cyproterone in rodent and canine species."
"1647753945-4981","https://www.ncbi.nlm.nih.gov/mesh/?term=ROC","A graphic means for assessing the ability of a screening test to discriminate between healthy and diseased persons; may also be used in other studies, e.g., distinguishing stimuli responses as to a faint stimuli or nonstimuli."
